code,name,year_founded
600619,海立股份,1992
000010,美丽生态,1989
000757,浩物股份,1997
601886,江河集团,1999
600038,中直股份,1999
002543,万和电气,2003
000806,银河生物,1993
601939,建设银行,2004
002334,英威腾,2002
002478,常宝股份,1999
600997,开滦股份,2001
601006,大秦铁路,2004
300104,乐视网,2004
002098,浔兴股份,1992
600487,亨通光电,1993
300366,创意信息,1996
603890,春秋电子,2011
600652,游久游戏,1985
300047,天源迪科,1993
300265,通光线缆,2002
600196,复星医药,1994
300407,凯发电气,2000
601996,丰林集团,2000
601001,大同煤业,2001
300073,当升科技,1998
000507,珠海港,1989
300172,中电环保,2001
002450,康得新,2001
002062,宏润建设,1994
600755,厦门国贸,1993
600288,大恒科技,1998
002629,仁智股份,2006
600690,青岛海尔,1989
600566,济川药业,1997
002101,广东鸿图,2000
601718,际华集团,2006
000997,新大陆,1999
002272,川润股份,1997
300285,国瓷材料,2005
000531,穗恒运A,1992
300308,中际旭创,2005
300372,欣泰退,1999
000892,欢瑞世纪,1997
002187,广百股份,2002
300204,舒泰神,2002
002424,贵州百灵,1999
000402,金融街,1996
300408,三环集团,1992
300176,鸿特科技,2003
600521,华海药业,1998
000413,东旭光电,1992
600200,江苏吴中,1994
000800,一汽轿车,1997
300171,东富龙,1993
002137,麦达数字,1998
600365,通葡股份,1999
601908,京运通,2002
002005,德豪润达,1996
600166,福田汽车,1996
300315,掌趣科技,2004
002587,奥拓电子,1993
300354,东华测试,1993
600604,市北高新,1991
600892,大晟文化,1986
300242,佳云科技,2002
002095,生意宝,2000
600415,小商品城,1993
000949,新乡化纤,1993
000989,九芝堂,1999
600516,方大炭素,1999
002648,卫星石化,2005
002611,东方精工,1996
600763,通策医疗,1995
600217,中再资环,1996
000035,中国天楹,1984
600699,均胜电子,1989
000510,金路集团,1992
601088,中国神华,2004
600241,时代万恒,1999
600581,八一钢铁,2000
600735,新华锦,1989
600293,三峡新材,1993
002425,凯撒文化,1994
600668,尖峰集团,1989
300180,华峰超纤,2002
600005,武钢股份,1997
002436,兴森科技,1999
600298,安琪酵母,1998
002303,美盈森,2000
300156,神雾环保,2004
200030,富奥B,1993
300090,盛运环保,1997
000558,莱茵体育,1988
002686,亿利达,1995
000797,中国武夷,1997
002644,佛慈制药,1999
002705,新宝股份,1995
002186,全聚德,1994
000059,华锦股份,1997
603108,润达医疗,1998
002386,天原集团,1994
002307,北新路桥,2001
002142,宁波银行,1997
002414,高德红外,2004
000032,深桑达A,1993
002077,大港股份,2000
000034,神州数码,1982
600101,明星电力,1988
000597,东北制药,1993
000425,徐工机械,1993
603806,福斯特,2003
600529,山东药玻,1993
600091,ST明科,1997
300380,安硕信息,2001
600104,上汽集团,1997
