code,name,year_listed
000988,华工科技,2000
002244,滨江集团,2008
000423,东阿阿胶,1996
600595,中孚实业,2002
002162,悦心健康,2007
600273,嘉化能源,2003
000100,TCL集团,2004
600870,*ST厦华,1995
300062,中能电气,2010
601699,潞安环能,2006
603030,全筑股份,2015
000622,恒立实业,1996
300227,光韵达,2011
000851,高鸿股份,1998
002759,天际股份,2015
002122,*ST天马,2007
603311,金海环境,2015
002546,新联电子,2011
300106,西部牧业,2010
600853,龙建股份,1994
000905,厦门港务,1999
600663,陆家嘴,1993
000511,烯碳退,1993
600405,动力源,2004
600233,圆通速递,2000
002130,沃尔核材,2007
600510,黑牡丹,2002
603566,普莱柯,2015
002235,安妮股份,2008
000880,潍柴重机,1998
000534,万泽股份,1994
000593,大通燃气,1996
600867,通化东宝,1994
600157,永泰能源,1998
601318,中国平安,2007
002128,露天煤业,2007
300166,东方国信,2011
300108,吉药控股,2010
000709,河钢股份,1997
002102,冠福股份,2006
300356,光一科技,2012
600001,邯郸钢铁,1998
002434,万里扬,2010
300220,金运激光,2011
600768,宁波富邦,1996
600256,广汇能源,2000
002104,恒宝股份,2007
300363,博腾股份,2014
600327,大东方,2002
000930,中粮生化,1999
600616,金枫酒业,1992
002288,超华科技,2009
600215,长春经开,1999
600846,同济科技,1994
002517,恺英网络,2010
600543,莫高股份,2004
600076,康欣新材,1997
002656,摩登大道,2012
601218,吉鑫科技,2011
603901,永创智能,2015
300141,和顺电气,2010
600589,广东榕泰,2001
600172,黄河旋风,1998
002318,久立特材,2009
300445,康斯特,2015
000650,仁和药业,1996
600832,东方明珠,1994
000047,ST中侨,1994
200012,南玻B,1992
300086,康芝药业,2010
600209,*ST罗顿,1999
600123,兰花科创,1998
002915,中欣氟材,2017
603118,共进股份,2015
601113,华鼎股份,2011
600167,联美控股,1999
300022,吉峰农机,2009
300121,阳谷华泰,2010
000055,方大集团,1996
603309,维力医疗,2015
600706,曲江文旅,1996
603222,济民制药,2015
600325,华发股份,2004
600339,中油工程,2000
002691,冀凯股份,2012
600787,中储股份,1997
603636,南威软件,2014
601766,中国中车,2008
300201,海伦哲,2011
600355,精伦电子,2002
000005,世纪星源,1990
002220,天宝食品,2008
600336,澳柯玛,2000
300120,经纬电材,2010
600403,大有能源,2003
600265,ST景谷,2000
002184,海得控制,2007
600593,大连圣亚,2002
002180,纳思达,2007
300056,三维丝,2010
600345,长江通信,2000
300128,锦富技术,2010
600789,鲁抗医药,1997
002326,永太科技,2009
300350,华鹏飞,2012
600382,广东明珠,2001
000683,远兴能源,1997
601238,广汽集团,2012
600637,东方明珠,1993
002314,南山控股,2009
000789,万年青,1997
601880,大连港,2010
600900,长江电力,2003
300367,东方网力,2014
600357,承德钒钛,2002
300270,中威电子,2011
002087,新野纺织,2006
002390,信邦制药,2010
300364,中文在线,2015
600801,华新水泥,1994
002246,北化股份,2008
600152,维科技术,1998
300016,北陆药业,2009
002351,漫步者,2010
600791,京能置业,1997
600218,全柴动力,1998
600779,水井坊,1996
000977,浪潮信息,2000
600570,恒生电子,2003
300032,金龙机电,2009
002294,信立泰,2009
603188,亚邦股份,2014
000630,铜陵有色,1996
601801,皖新传媒,2010
600958,东方证券,2015
601998,中信银行,2007
000028,国药一致,1993
603080,新疆火炬,2018
600026,中远海能,2002
600573,惠泉啤酒,2003
600419,天润乳业,2001
002155,湖南黄金,2007
002569,步森股份,2011
000678,襄阳轴承,1997
002405,四维图新,2010
600346,恒力股份,2001
002191,劲嘉股份,2007
000953,ST河化,1999
002357,富临运业,2010
600522,中天科技,2002
600145,*ST新亿,1999
002214,大立科技,2008
002024,苏宁易购,2004
600621,华鑫股份,1992
002094,青岛金王,2006
002181,粤传媒,2007
002421,达实智能,2010
002734,利民股份,2015
601222,林洋能源,2011
002297,博云新材,2009
000049,德赛电池,1995
002695,煌上煌,2012
002578,闽发铝业,2011
300398,飞凯材料,2014
600165,新日恒力,1998
600613,神奇制药,1992
000672,上峰水泥,1996
600822,上海物贸,1994
000881,中广核技,1998
300007,汉威科技,2009
600611,大众交通,1992
000721,西安饮食,1997
600283,钱江水利,2000
002340,格林美,2010
000909,数源科技,1999
300299,富春股份,2012
600688,上海石化,1993
601007,金陵饭店,2007
600687,刚泰控股,1993
000008,神州高铁,1992
002558,巨人网络,2011
603368,柳药股份,2014
300209,天泽信息,2011
300312,邦讯技术,2012
000627,天茂集团,1996
002735,王子新材,2014
601377,兴业证券,2010
000635,英力特,1996
600263,路桥建设,2000
300296,利亚德,2012
002324,普利特,2009
603988,中电电机,2014
300294,博雅生物,2012
601689,拓普集团,2015
000038,深大通,1994
002584,西陇科学,2011
000919,金陵药业,1999
002913,奥士康,2017
300404,博济医药,2015
601688,华泰证券,2010
002634,棒杰股份,2011
002226,江南化工,2008
002479,富春环保,2010
002582,好想你,2011
900920,上柴B股,1993
000925,众合科技,1999
600329,中新药业,2001
002238,天威视讯,2008
002586,围海股份,2011
600660,福耀玻璃,1993
300211,亿通科技,2011
600247,*ST成城,2000
002218,拓日新能,2008
200541,粤照明B,1995
600658,电子城,1993
002329,皇氏集团,2010
000722,湖南发展,1997
600116,三峡水利,1997
000760,斯太尔,1997
600193,*ST创兴,1999
002136,安纳达,2007
000686,东北证券,1997
000338,潍柴动力,2007
600338,西藏珠峰,2000
002467,二六三,2010
002178,延华智能,2007
